FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time,source_file,BV421-A,BV510-A,BV605-A,BV650-A,BB515-A,PE-CF594-A,APC-R700-A,anomaly,true_label,feat_0,feat_1,feat_2,feat_3,feat_4,0,1,2,cluster,UMAP_1,UMAP_2
28225.047,29507.156,181816.77,31680.268,32731.564,132030.08,169.09334,603.445,744.61884,1347.3593,807.5235,119.24484,132.47392,103.35549,181.48248,865.4974,443.13065,1787.4768,3.2260883,gated_data.csv,,,,,,,,0,1,-0.71266866,-0.7869947,-0.9909259,-0.8412767,-0.8041862,,,,,,
55150.387,56373.125,190314.33,24072.203,25062.832,90410.25,14.241908,82.03943,593.9757,3737.6196,662.9573,11.279412,152.36069,960.06464,4027.6274,2450.2583,652.6157,3666.4993,3.2881763,gated_data.csv,,,,,,,,0,1,-0.5567039,-0.20616253,-0.6111244,-0.764079,-0.8255704,,,,,,
56762.418,56916.285,216409.06,45688.918,46808.03,123366.68,3.7162967,104.75141,719.28546,2266.2812,1391.9072,-1.7897098,147.45648,812.8954,2087.0771,1207.543,622.06433,7969.2515,3.3555121,gated_data.csv,,,,,,,,0,1,-1.1410351,-0.7619594,-1.0714833,-0.86938393,-0.7588759,,,,,,
76954.8,71130.48,219827.92,48163.9,45804.938,126842.055,148.124,115.1799,1496.1573,7112.68,1606.1832,32.60827,473.29877,1728.9974,6804.66,2197.3662,896.10315,2226.5588,3.3826241,gated_data.csv,,,,,,,,0,1,0.05953807,-0.15946883,-0.19290757,-0.2819134,-0.3196826,,,,,,
49899.535,49144.2,213676.31,52145.605,53321.79,131632.47,98.24608,47.2171,294.48892,2289.8418,1586.9686,18.740765,121.333786,529.52466,1752.1718,1316.0496,593.0764,8096.2954,3.3854165,gated_data.csv,,,,,,,,0,1,0.039604243,0.0018872087,-0.005481808,-0.041748833,-0.35042292,,,,,,
54175.5,53497.68,217397.14,50144.938,51353.88,136005.52,112.261894,281.80518,706.0183,3162.3286,2339.9368,33.020943,132.56862,692.0211,2541.5715,10492.3,2664.9883,13936.133,3.6404805,gated_data.csv,,,,,,,,0,1,0.5918078,1.1785973,0.7358626,0.70907825,-0.11012546,,,,,,
45692.62,46498.004,193499.25,24962.184,25833.041,92816.43,11.394868,-44.547894,512.2305,4335.2134,473.04614,-15.694379,294.95523,647.09485,2354.4783,17093.857,2881.512,1645.5377,3.739144,gated_data.csv,,,,,,,,0,1,-0.35066447,-0.5768022,-0.6229245,-0.9566372,-0.7076181,,,,,,
61218.082,62188.832,210883.84,34248.457,36322.953,113651.086,98.066925,146.88103,531.7028,4589.634,597.8199,-38.318146,14.522547,945.65515,3568.9568,8984.788,1643.037,842.55664,3.8041763,gated_data.csv,,,,,,,,0,1,0.2639741,0.20628427,0.4886985,0.8069806,3.2704473,,,,,,
55420.324,56333.598,197559.22,26247.598,27446.117,101460.14,150.90483,31.309832,436.90234,3448.7158,1185.4086,-26.983318,121.9508,651.72974,2423.4507,11259.783,2304.8398,5833.477,3.8146405,gated_data.csv,,,,,,,,0,1,-0.72034454,-0.7289029,-0.37266314,-0.40391573,-0.55671334,,,,,,
78762.555,79009.05,211195.61,36450.777,38042.91,118610.92,72.20896,187.75017,131.70618,89.87948,814.9005,35.03662,-70.53292,36.539658,-58.922756,1330.238,562.68646,8082.596,3.8549283,gated_data.csv,,,,,,,,0,1,0.84471625,-0.64916253,0.6532125,0.8997067,-0.1359767,,,,,,
59608.85,61515.934,189643.89,23161.525,25044.236,81377.81,85.57179,148.95247,193.15277,558.5788,412.0951,49.380367,217.23682,41.802338,73.27718,315.18155,249.96808,2347.949,4.046688,gated_data.csv,,,,,,,,0,1,-1.0054259,-0.13924272,-1.04874,-1.2699729,-0.85241914,,,,,,
65831.11,67293.9,206589.34,30594.15,31877.406,114430.25,-37.113712,163.01755,1435.2542,4267.2764,1025.345,29.727247,3433.765,1765.8013,3256.5376,3322.388,1158.3455,4204.357,4.228568,gated_data.csv,,,,,,,,0,1,0.09127859,-0.5177465,-0.39164165,-0.39456514,-0.42267114,,,,,,
77273.6,77408.83,215533.45,43826.254,45453.137,127680.41,18.908354,325.89157,56.996937,52.092148,1619.2788,19.749596,55.152287,12.026201,-148.5918,1702.4004,733.83264,12221.827,4.4311285,gated_data.csv,,,,,,,,0,1,0.11987647,0.58768684,0.0856743,-0.13174783,-0.40785623,,,,,,
52005.574,52397.17,203104.16,31968.824,31145.102,141653.02,83.11733,273.37073,723.23126,4292.3237,885.52515,51.23549,102.87888,776.22925,3266.6794,9456.052,1463.1531,1452.8245,4.4657044,gated_data.csv,,,,,,,,0,1,-0.27936715,-0.10781221,-0.5609738,-0.4752694,0.4498374,,,,,,
62754.51,63837.293,209744.19,36945.145,38979.42,121659.67,75.627594,95.91663,299.26614,1670.8033,618.0702,-8.53554,138.52985,343.0009,1199.0597,2082.88,790.0429,5215.6533,4.475992,gated_data.csv,,,,,,,,0,1,-0.852424,-0.59851795,-0.9864205,-0.78300273,-0.8816412,,,,,,
62545.914,63441.777,209812.12,36247.176,37064.832,116241.95,288.03558,1045.1885,823.93585,614.13513,1407.7477,142.40503,166.38249,93.52702,240.75195,1092.5674,744.32446,7276.462,4.5285683,gated_data.csv,,,,,,,,0,1,1.3294232,1.1812555,0.90814465,1.0898905,-0.0026004433,,,,,,
73646.53,75005.18,206029.25,32102.826,33616.19,114962.414,83.95556,206.86984,407.1975,2553.5835,1622.3096,21.671125,116.917336,461.44632,1286.2966,11193.026,2403.7788,10025.113,4.5627923,gated_data.csv,,,,,,,,0,1,-0.08154724,0.57868856,0.19993912,0.17887966,-0.13241611,,,,,,
35781.637,37291.195,195936.94,25216.541,26445.445,87839.18,174.22005,509.74948,715.74,801.5762,780.4173,55.633995,328.57086,124.180756,54.747757,699.8564,350.75742,4930.144,4.741384,gated_data.csv,,,,,,,,0,1,1.4898757,1.211797,1.2234052,0.981413,0.07214332,,,,,,
70926.02,72043.78,206869.05,31698.389,33254.62,111421.99,100.51485,-52.553932,289.99545,3205.3896,1198.3898,3.0802662,54.815063,601.4802,2193.8633,12109.298,2134.4153,8154.463,4.8505683,gated_data.csv,,,,,,,,0,1,-0.654205,-0.22644195,-0.11079813,-0.30556813,-0.43212974,,,,,,
53186.945,52213.24,215910.8,50068.234,51884.46,133933.31,91.314644,335.38367,307.19925,1302.697,1414.9531,29.778576,57.36771,278.751,992.32526,1372.2599,789.9886,7880.8584,4.9022884,gated_data.csv,,,,,,,,0,1,1.7222248,1.3044964,1.8071194,1.792128,0.47749448,,,,,,
78889.52,78355.664,205429.1,31919.418,33173.68,109518.36,125.291756,144.57195,98.186356,135.20721,648.2605,21.873755,24.463303,32.35049,-56.857704,281.42398,369.01157,5008.099,5.0432806,gated_data.csv,,,,,,,,0,1,0.5162664,-0.4804421,0.006269213,0.19212611,-0.09631997,,,,,,
54146.434,57622.98,203623.97,38386.047,38535.582,122294.7,131.17194,156.63956,560.3797,3441.1672,1379.0974,-18.8149,227.66827,514.97754,2338.3706,5520.2437,1364.9211,8178.1104,5.2293444,gated_data.csv,,,,,,,,0,1,0.76957947,0.20905346,0.6227776,0.9742331,0.033869207,,,,,,
